energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,music_features,uri
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
,,,,,,,,,,,,class,meta
0.591,0.113,156.584,0.103,0.0565,0.0,4.0,0.644,5.0,213600.0,-10.452,0.531,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:5XguLH3qJiYb4pHUnNVrIT
0.479,0.291,152.563,0.0632,0.093,0.000158,4.0,0.356,7.0,194827.0,-11.513,0.208,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2TEW9YkQDKRHUxCHbEn0Gk
0.715,0.547,92.978,0.0315,0.207,0.000118,4.0,0.757,0.0,210707.0,-5.356,0.892,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:7KIfxh9R4sxkPkn19ikdGd
0.694,0.148,99.039,0.027,0.257,0.0,4.0,0.689,6.0,213307.0,-5.83,0.482,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:47BBI51FKFwOMlIiX6m8ya
0.214,0.0839,66.98,0.0356,0.844,5.3e-06,4.0,0.306,4.0,271093.0,-12.518,0.108,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:4eHbdreAnSOrDDsFfc4Fpm
0.527,0.156,128.033,0.0292,0.0598,0.947,4.0,0.592,5.0,188555.0,-9.926,0.576,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0mdtYfR8hE1Eb6hwLMJWRX
0.907,0.381,144.979,0.0494,0.122,0.0,4.0,0.538,7.0,196827.0,-3.743,0.562,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:6xG2ZGudUgtV235xvDlSEt
0.433,0.273,79.952,0.0412,0.934,0.811,4.0,0.44,2.0,254360.0,-17.453,0.216,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0z1TtwvJ9UMkLaNhitI0wQ
0.837,0.839,126.342,0.375,0.00427,0.00114,4.0,0.597,10.0,171360.0,-6.518,0.447,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:65Wn0KpbPXTVLNQNEMtK1j
0.902,0.0796,94.503,0.0631,0.172,0.0,4.0,0.656,4.0,176480.0,-4.207,0.591,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0Z27xVPEXEnh3LdvqGgteO
